city,date,ts,time,expected_high_f,abs_error_f,actual_bucket_probability,modal_bucket,modal_probability,actual_inside_modal,raw_probability_sum
nyc,2026-03-03,1772532000,2026-03-03T10:00:00Z,40.523809523809526,4.5238095238095255,0.2333333333333333,39-40F,0.3476190476190476,False,1.05
nyc,2026-03-03,1772535600,2026-03-03T11:00:00Z,40.367441860465114,4.367441860465114,0.27906976744186046,39-40F,0.3395348837209302,False,1.075
nyc,2026-03-03,1772539200,2026-03-03T12:00:00Z,40.15384615384615,4.153846153846153,0.3605769230769231,<39F,0.3605769230769231,True,1.04
nyc,2026-03-03,1772542800,2026-03-03T13:00:00Z,39.87731481481481,3.8773148148148096,0.39814814814814814,<39F,0.39814814814814814,True,1.08
nyc,2026-03-03,1772546400,2026-03-03T14:00:00Z,39.306976744186045,3.306976744186045,0.4744186046511628,<39F,0.4744186046511628,True,1.075
nyc,2026-03-03,1772550000,2026-03-03T15:00:00Z,39.32710280373831,3.3271028037383132,0.44392523364485975,<39F,0.44392523364485975,True,1.07
nyc,2026-03-03,1772553600,2026-03-03T16:00:00Z,39.233333333333334,3.2333333333333343,0.5,<39F,0.5,True,1.05
nyc,2026-03-03,1772557200,2026-03-03T17:00:00Z,39.19724770642201,3.1972477064220115,0.5183486238532109,<39F,0.5183486238532109,True,1.09
nyc,2026-03-03,1772560800,2026-03-03T18:00:00Z,38.89252336448598,2.8925233644859816,0.6401869158878505,<39F,0.6401869158878505,True,1.07
nyc,2026-03-03,1772564400,2026-03-03T19:00:00Z,38.543062200956946,2.543062200956946,0.7703349282296652,<39F,0.7703349282296652,True,1.045
nyc,2026-03-03,1772568000,2026-03-03T20:00:00Z,38.72115384615385,2.7211538461538467,0.6778846153846153,<39F,0.6778846153846153,True,1.04
nyc,2026-03-03,1772571600,2026-03-03T21:00:00Z,38.48550724637681,2.4855072463768124,0.7971014492753623,<39F,0.7971014492753623,True,1.035
nyc,2026-03-03,1772575200,2026-03-03T22:00:00Z,38.471291866028714,2.4712918660287144,0.799043062200957,<39F,0.799043062200957,True,1.045
nyc,2026-03-03,1772578800,2026-03-03T23:00:00Z,38.3609756097561,2.360975609756103,0.8487804878048781,<39F,0.8487804878048781,True,1.025
nyc,2026-03-03,1772582400,2026-03-04T00:00:00Z,38.34466019417475,2.3446601941747502,0.8592233009708737,<39F,0.8592233009708737,True,1.03
nyc,2026-03-03,1772586000,2026-03-04T01:00:00Z,38.23399014778325,2.2339901477832527,0.9211822660098522,<39F,0.9211822660098522,True,1.0150000000000001
nyc,2026-03-03,1772589600,2026-03-04T02:00:00Z,38.1764705882353,2.176470588235297,0.946078431372549,<39F,0.946078431372549,True,1.02
nyc,2026-03-03,1772593200,2026-03-04T03:00:00Z,38.148514851485146,2.148514851485146,0.9653465346534653,<39F,0.9653465346534653,True,1.01
nyc,2026-03-03,1772596800,2026-03-04T04:00:00Z,38.16019417475728,2.1601941747572795,0.9563106796116504,<39F,0.9563106796116504,True,1.03
nyc,2026-03-03,1772600400,2026-03-04T05:00:00Z,38.15853658536586,2.1585365853658587,0.9707317073170733,<39F,0.9707317073170733,True,1.025
nyc,2026-03-03,1772604000,2026-03-04T06:00:00Z,42.5,6.5,0.16666666666666666,<39F,0.16666666666666666,True,3.0
nyc,2026-03-04,1772553600,2026-03-03T16:00:00Z,50.185365853658546,1.1853658536585456,0.27804878048780496,50-51F,0.3463414634146342,False,1.025
nyc,2026-03-04,1772557200,2026-03-03T17:00:00Z,50.42091836734694,1.4209183673469425,0.25510204081632654,50-51F,0.3316326530612245,False,0.98
nyc,2026-03-04,1772560800,2026-03-03T18:00:00Z,50.536407766990294,1.536407766990294,0.2524271844660194,50-51F,0.3155339805825243,False,1.03
nyc,2026-03-04,1772564400,2026-03-03T19:00:00Z,50.19035532994924,1.1903553299492415,0.29949238578680204,50-51F,0.3147208121827411,False,0.985
nyc,2026-03-04,1772568000,2026-03-03T20:00:00Z,50.165048543689316,1.1650485436893163,0.28640776699029125,50-51F,0.3203883495145631,False,1.03
nyc,2026-03-04,1772571600,2026-03-03T21:00:00Z,50.2688679245283,1.2688679245283012,0.25471698113207547,50-51F,0.3632075471698113,False,1.06
nyc,2026-03-04,1772575200,2026-03-03T22:00:00Z,50.220588235294116,1.220588235294116,0.2647058823529412,50-51F,0.34313725490196073,False,1.02
nyc,2026-03-04,1772578800,2026-03-03T23:00:00Z,49.98543689320388,0.9854368932038824,0.3058252427184466,50-51F,0.35436893203883496,False,1.03
